	InChIKey	UniProt	Activity
17067	DAVWLGVBAUGEOK-UHFFFAOYSA-N	P33261	Active
17068	ABJPEFQUUBDHMZ-UHFFFAOYSA-M	P33261	Active
17069	JTMFJLXJCCVSIM-RYEVTAHJSA-N	P33261	Active
17070	YWRFBXPQBUKIHP-MDZDMXLPSA-N	P33261	Active
17071	MDGLBXLWXXWTIJ-UHFFFAOYSA-N	P33261	Active
17072	UDLFVFDPORVSLW-UHFFFAOYSA-N	P33261	Active
17073	SSGFIWUNXJVUJB-UHFFFAOYSA-N	P33261	Active
17074	FBHWANHQHCXNOW-UHFFFAOYSA-N	P33261	Active
17075	OSFBHNAFTQFYPO-UHFFFAOYSA-N	P33261	Active
17076	WHPVVFZPXKODBB-LJQANCHMSA-N	P33261	Active
17077	CVACEDCBGCMVKB-UHFFFAOYSA-N	P33261	Active
17078	VDGOOKRFIJJCSX-JGMYJUFCSA-N	P33261	Active
17079	BLEHTALMHJHORQ-UHFFFAOYSA-N	P33261	Active
17080	URGZWCGWLFKZMA-MAOIWGCQSA-N	P33261	Active
17081	APEYSGYXVOGZJC-UHFFFAOYSA-N	P33261	Active
17082	ILRCCCMLZKMQGT-UHFFFAOYSA-N	P33261	Active
17083	MSEBSCSYBGIIJX-FACJCZCKSA-N	P33261	Active
17084	USWLOKMMUTWFMD-UHFFFAOYSA-N	P33261	Active
17085	OTJWJLLGPAFTIP-UHFFFAOYSA-N	P33261	Active
17086	AMKBVLZRQPIFBQ-CVDDZGRDSA-Q	P33261	Active
17087	CQCYWCWYOWSXIW-UHFFFAOYSA-N	P33261	Active
17088	DAZQDSHWDALZKB-UHFFFAOYSA-N	P33261	Active
17089	GWRPVMKQEIVDKV-UHFFFAOYSA-N	P33261	Active
17090	WSSMQPRGEWEVIR-QDOYKEIESA-N	P33261	Active
17091	SWMNSABUWYKPAU-UHFFFAOYSA-N	P33261	Active
17092	KYOLURBOMPBIKI-UHFFFAOYSA-N	P33261	Active
17093	LKALLEFLBKHPTQ-UHFFFAOYSA-N	P33261	Active
17094	JVEDHWWWBFCUKI-JVULLFNSSA-N	P33261	Active
17095	LPLWMYVFXQJTQF-RGMNGODLSA-N	P33261	Active
17096	WVCPMBHZPSBORV-UHFFFAOYSA-N	P33261	Active
17097	KPIWBQQKOPSARL-UHFFFAOYSA-N	P33261	Active
17098	RABXJVNSGMBEBF-UHFFFAOYSA-N	P33261	Active
17099	USBNCBWTGNVEEO-UHFFFAOYSA-N	P33261	Active
17100	KUIRJFQCMORRRL-UHFFFAOYSA-N	P33261	Active
17101	ALQKKXUUQCNATE-UHFFFAOYSA-N	P33261	Active
17102	YVIXCNGMJYZEFQ-NTCAYCPXSA-N	P33261	Active
17103	OCFFLLSDBSKNFW-OAHLLOKOSA-N	P33261	Active
17104	FCSJSKBERJLLHH-UHFFFAOYSA-N	P33261	Active
17105	PYYGJCYIQDJBDR-UHFFFAOYSA-N	P33261	Active
17106	CHKKLLVNGFVSBH-UHFFFAOYSA-N	P33261	Active
17107	DCXFQOGCYSVVMB-UHFFFAOYSA-N	P33261	Active
17108	NMZQXFCSDNBWFV-UHFFFAOYSA-N	P33261	Active
17109	NQIXBTDGJGXIGS-UHFFFAOYSA-N	P33261	Active
17110	DVMJYVSFWOSELO-UHFFFAOYSA-N	P33261	Active
17111	KLGRWWNBLUHQPB-UHFFFAOYSA-N	P33261	Active
17112	WEUJGAHGBPEZIT-UHFFFAOYSA-N	P33261	Active
17113	FXHQZEJEBWTOJA-UHFFFAOYSA-N	P33261	Active
17114	MLXSKOFAXKBMOL-UHFFFAOYSA-N	P33261	Active
17115	XWFIEOIMMLRDEE-UHFFFAOYSA-N	P33261	Active
17116	YZMQJAKSFUZRNH-UHFFFAOYSA-N	P33261	Active
17117	KXXFPDNKSPNSMV-KBPBESRZSA-N	P33261	Active
17118	IHLGCRTYBDAHIA-RGOKHQFPSA-N	P33261	Active
17119	QRPKNPKHGNUFGK-UHFFFAOYSA-N	P33261	Active
17120	ZLSWBDLJHFJFHB-RDJZCZTQSA-N	P33261	Active
17121	HJXBNHVNJYYCRG-UHFFFAOYSA-N	P33261	Active
17122	YSBPMMIOSDLMAM-AWEZNQCLSA-N	P33261	Active
17123	ISHRKNDRIGDTBK-UHFFFAOYSA-N	P33261	Active
17124	ALJURYJXCXVZFN-UHFFFAOYSA-N	P33261	Active
17125	DNNVKRLIFZPYGL-UHFFFAOYSA-N	P33261	Active
17126	CTZRGBQIQAQJIM-UHFFFAOYSA-N	P33261	Active
17127	JFSZVSHUGZIAMG-KLSXOVHCSA-N	P33261	Active
17128	ZOPQOYFSTHMWDX-UHFFFAOYSA-N	P33261	Active
17129	QCIUQGMYQZLWQV-UHFFFAOYSA-N	P33261	Active
17130	HLQDIPIJVPRKHZ-UHFFFAOYSA-N	P33261	Active
17131	UYLRIWLPRPMLQC-DAXSKMNVSA-N	P33261	Active
17132	OTXRCGNMRLBGID-UHFFFAOYSA-N	P33261	Active
17133	GGRMGYJJBCRHKM-UHFFFAOYSA-N	P33261	Active
17134	PAAAKNYXXIVNCJ-UHFFFAOYSA-N	P33261	Active
17135	MXPRFFFCRFBOPX-UHFFFAOYSA-N	P33261	Active
17136	PBJXXWUOAZVHEP-UHFFFAOYSA-N	P33261	Active
17137	CVVZGKZBSZURJO-IBGZPJMESA-N	P33261	Active
17138	IVBASDRKBCHBSP-UHFFFAOYSA-N	P33261	Active
17139	RPFSNQSNYFOHOP-HSZRJFAPSA-N	P33261	Active
17140	MNKSJKLEOTWLDU-CQSZACIVSA-N	P33261	Active
17141	ZFVXGNGPIXWVEL-UHFFFAOYSA-N	P33261	Active
17142	DAQRZDDIMCDMPZ-UHFFFAOYSA-N	P33261	Active
17143	MPLDEKGOOJUJBT-UHFFFAOYSA-N	P33261	Active
17144	AXLBVVLIPLJARG-QWHCGFSZSA-N	P33261	Active
17145	AIAGZERPVXJMJI-RAXLEYEMSA-N	P33261	Active
17146	SOQYJXVHBQVRDB-UHFFFAOYSA-N	P33261	Active
17147	ZHENGQSAYATKAZ-UHFFFAOYSA-N	P33261	Active
17148	JTXUIHPHBAGZMF-UHFFFAOYSA-N	P33261	Active
17149	LPKALOWBSKZKPT-UHFFFAOYSA-N	P33261	Active
17150	HKSKSPMTGBSDOR-MRXNPFEDSA-N	P33261	Active
17151	YQQOWRFAYJNTDF-UHFFFAOYSA-N	P33261	Active
17152	SVDZPIVNFBEDFQ-UHFFFAOYSA-N	P33261	Active
17153	JLVXUVJNMZBXSS-UHFFFAOYSA-N	P33261	Active
17154	PKDJQOGOVQLPPG-UNMCSNQZSA-N	P33261	Active
17155	FOYXJMABOXFXKS-UHFFFAOYSA-N	P33261	Active
17156	PNKGCTZQQQGNKN-UHFFFAOYSA-N	P33261	Active
17157	KRNAPVRIULRUAL-UHFFFAOYSA-N	P33261	Active
17158	IUVAYOLBKVEQQG-SEYXRHQNSA-N	P33261	Active
17159	VGMOECBHITYGPM-UHFFFAOYSA-N	P33261	Active
17160	VKJJBAOUCOSHBQ-UHFFFAOYSA-N	P33261	Active
17161	VGVCAZDGILAXDP-UHFFFAOYSA-O	P33261	Active
17162	HCAWEHHJTCEEPF-UHFFFAOYSA-N	P33261	Active
17163	XNGZKLFCPYJUAT-UHFFFAOYSA-N	P33261	Active
17164	DVQQCTSFLJNTCY-KTKRTIGZSA-N	P33261	Active
17165	KNNZYQMTSPFAGR-LQSQFJFCSA-N	P33261	Active
17166	MWQRCJCBHFELLF-UHFFFAOYSA-N	P33261	Active
17167	ZFFHIQSKKULCPN-UHFFFAOYSA-N	P33261	Active
17168	KPMWGGRSOPMANK-LRDDRELGSA-N	P33261	Active
17169	GFHLSVFXRWFTIQ-UHFFFAOYSA-N	P33261	Active
17170	KJMDINXKZZGZAN-UHFFFAOYSA-N	P33261	Active
17171	VEVGNPJKXAYEMU-AWEZNQCLSA-N	P33261	Active
17172	OSXGEIHFRWKWMQ-UHFFFAOYSA-N	P33261	Active
17173	LQQHUNCTCXBRNU-UHFFFAOYSA-P	P33261	Active
17174	VRKTWSJIQFFUOJ-PGMHBOJBSA-N	P33261	Active
17175	ZDYZHECSPYIYSS-UHFFFAOYSA-N	P33261	Active
17176	CKHPOCWCCXUBPP-UHFFFAOYSA-N	P33261	Active
17177	IPGCPQVGKGPJDW-UHFFFAOYSA-N	P33261	Active
17178	QBRHVORBTKVOQZ-UHFFFAOYSA-N	P33261	Active
17179	ZNNCXSVPJQOPBZ-UHFFFAOYSA-N	P33261	Active
17180	ZPANWZBSGMDWON-UHFFFAOYSA-N	P33261	Active
17181	ZQGZKEMTFYZITH-UHFFFAOYSA-N	P33261	Active
17182	ISCIXAIEDTZJCQ-UHFFFAOYSA-N	P33261	Active
17183	GHCZYXUOYFOXIP-UHFFFAOYSA-N	P33261	Active
17184	IVEMPCACOMNRGI-KAPIIPHTSA-N	P33261	Active
17185	VRLIJNKTPYPWQI-UHFFFAOYSA-N	P33261	Active
17186	GTYWKHXMYZVFSU-UHFFFAOYSA-N	P33261	Active
17187	WEDJTHOBXWJYEJ-UHFFFAOYSA-N	P33261	Active
17188	FLXLKAGXWDEWAL-UHFFFAOYSA-N	P33261	Active
17189	DSVRCBOSZSZMRX-UHFFFAOYSA-N	P33261	Active
17190	LDKDGDIWEUUXSH-UHFFFAOYSA-N	P33261	Active
17191	DUWADOQTJHPYTM-UHFFFAOYSA-N	P33261	Active
17192	DWPVXPWVRGYTRD-UHFFFAOYSA-N	P33261	Active
17193	IEHZRRMDWJJZBT-HXUWFJFHSA-N	P33261	Active
17194	NISNWVZYKYOKOX-HXUWFJFHSA-N	P33261	Active
17195	PSCFZETTYRDCRM-HXUWFJFHSA-N	P33261	Active
17196	WVUIPXNTNXMVBY-UHFFFAOYSA-N	P33261	Active
17197	DFWCZDAKJINNOO-UHFFFAOYSA-N	P33261	Active
17198	BFWUHZWSBYKMMJ-UHFFFAOYSA-N	P33261	Active
17199	CMLQQCUNBFJMRY-UHFFFAOYSA-N	P33261	Active
17200	YSKNYAFXEGWVIX-UHFFFAOYSA-N	P33261	Active
17201	AGHNFWXJQOPISY-UHFFFAOYSA-N	P33261	Active
17202	SKXQTLOYXRBPBO-UHFFFAOYSA-N	P33261	Active
17203	SQPVZRRHEZGCAT-UHFFFAOYSA-N	P33261	Active
17204	DYHIDFWZUJVUIZ-UHFFFAOYSA-N	P33261	Active
17205	ADJGBTLTNFWJTN-UHFFFAOYSA-N	P33261	Active
17206	WFYFFWSHVJZZIO-UHFFFAOYSA-N	P33261	Active
17207	YZHNTCMHCNIXKH-UHFFFAOYSA-N	P33261	Active
17208	GLGCNBKSOJDTEC-UHFFFAOYSA-N	P33261	Active
17209	OYRWQKIZEOKKRB-UHFFFAOYSA-N	P33261	Active
17210	BRCLUAPSDFUPCL-UHFFFAOYSA-N	P33261	Active
17211	UODXLHNBEJJSLU-UHFFFAOYSA-N	P33261	Active
17212	HILIMHHZWMHIAJ-UHFFFAOYSA-N	P33261	Active
17213	WDOCBIHNYYQINH-UHFFFAOYSA-N	P33261	Active
17214	HCMDFFYCXMXLAI-UHFFFAOYSA-N	P33261	Active
17215	RFACJZNSJVJXQO-UHFFFAOYSA-N	P33261	Active
17216	BVMYRZVNVDKODF-UHFFFAOYSA-N	P33261	Active
17217	QOJCROIHINAYBT-UHFFFAOYSA-N	P33261	Active
17218	OEACBEADGXKZSI-UHFFFAOYSA-N	P33261	Active
17219	JEITUZKSYNWOQI-UHFFFAOYSA-N	P33261	Active
17220	DKJCYHOIEGAIFC-UHFFFAOYSA-N	P33261	Active
17221	NMHSTTMKOCKHGH-UHFFFAOYSA-N	P33261	Active
17222	IHVNAJFFACMNPT-UHFFFAOYSA-N	P33261	Active
17223	SPAGKXAUUQFSEQ-UHFFFAOYSA-N	P33261	Active
17224	LXNUZWHEMOKYNJ-UHFFFAOYSA-N	P33261	Active
17225	SAZPNQSUEPKYMD-UHFFFAOYSA-N	P33261	Active
17226	VWKHFCPEISNOGQ-UHFFFAOYSA-N	P33261	Active
17227	HHJFDZJWJXLUGZ-UHFFFAOYSA-N	P33261	Active
17228	TWCDBPAVCJNNEC-UHFFFAOYSA-N	P33261	Active
17229	ZFAVYDDZBIBVLJ-UHFFFAOYSA-N	P33261	Active
17230	GENLEIDNZUMQBI-UHFFFAOYSA-N	P33261	Active
17231	NLVLZSUFESKQCK-UHFFFAOYSA-N	P33261	Active
17232	BBNAMJBRRFARQZ-UHFFFAOYSA-N	P33261	Active
17233	QGMNHTNEKIDLPZ-UHFFFAOYSA-N	P33261	Active
17234	ZNBQFFOQYNKMNF-UHFFFAOYSA-N	P33261	Active
17235	FXIYVWXCOHHGFH-UHFFFAOYSA-N	P33261	Active
17236	OAYLZJHVKRLXBQ-UHFFFAOYSA-N	P33261	Active
17237	UACKYABEMYKEJV-UHFFFAOYSA-N	P33261	Active
17238	WMOHBKWSVHOJQV-UHFFFAOYSA-N	P33261	Active
17239	ZLEMOLYBSSYRFK-UHFFFAOYSA-N	P33261	Active
17240	CTBCEYRHDOIDPM-UHFFFAOYSA-N	P33261	Active
17241	QWCOZHJJPXMKTQ-UHFFFAOYSA-N	P33261	Active
17242	ZJJDJLGQQSIOGL-UHFFFAOYSA-N	P33261	Active
17243	AOLLHGYQIPWYEK-UHFFFAOYSA-N	P33261	Active
17244	AUAFVGXISBLFSK-UHFFFAOYSA-N	P33261	Active
17245	DXHWKFUITKTHPA-GIDUJCDVSA-N	P33261	Active
17246	JYDYEDVFQNITAL-UHFFFAOYSA-N	P33261	Active
17247	WVWVJNQGPSJDHH-UHFFFAOYSA-N	P33261	Active
17248	RGCKXGPBGGAIIV-WYMLVPIESA-N	P33261	Active
17249	NNCJJORBZXTGND-UHFFFAOYSA-N	P33261	Active
17250	GXLZCGCXHSFFJU-UHFFFAOYSA-N	P33261	Active
17251	RJQSGWMTLGPQKK-UHFFFAOYSA-N	P33261	Active
17252	XZPNAKLXECNGLG-UHFFFAOYSA-N	P33261	Active
17253	ACOMGCASAKQJIO-UHFFFAOYSA-N	P33261	Active
17254	LVYVUROZBDFRGK-UHFFFAOYSA-N	P33261	Active
17255	AZHGDHGEYCLYPN-UHFFFAOYSA-N	P33261	Active
17256	MGJPORYQCXGBGJ-UHFFFAOYSA-N	P33261	Active
17257	YAIXJKZQJNOCPD-UHFFFAOYSA-N	P33261	Active
17258	QXOOSFHSUUEXKT-UHFFFAOYSA-N	P33261	Active
17259	SIZJYRXMWAENKH-UHFFFAOYSA-N	P33261	Active
17260	UPYIQSPMXJQISB-UHFFFAOYSA-N	P33261	Active
17261	TYBBHDPTXSRXQF-UHFFFAOYSA-N	P33261	Active
17262	USBFEPXVZKJDSA-UHFFFAOYSA-N	P33261	Active
17263	UTIFKYHFPMYVDS-BHGWPJFGSA-N	P33261	Active
17264	DJUMKJXVFMWXJU-UHFFFAOYSA-N	P33261	Active
17265	LHNNCJDKAWWEQB-UHFFFAOYSA-N	P33261	Active
17266	CZKXTCGYXUGIEC-UHFFFAOYSA-N	P33261	Active
17267	FIZIZBXTOLZNCZ-UHFFFAOYSA-N	P33261	Active
17268	QPPAJPWUSODCEM-UHFFFAOYSA-N	P33261	Active
17269	RBFDSBJDWZOTGR-UHFFFAOYSA-N	P33261	Active
17270	XEYVOAAFCVJQIS-UHFFFAOYSA-N	P33261	Active
17271	DTKQJXWLIUBVTC-UHFFFAOYSA-N	P33261	Active
17272	LYAWSJNRHUBFSI-UHFFFAOYSA-N	P33261	Active
17273	IJQDQFALBIQPLA-UHFFFAOYSA-N	P33261	Active
17274	HDEGSXWTRKISJV-UHFFFAOYSA-N	P33261	Active
17275	FFYWTGVQTAIHMC-UHFFFAOYSA-N	P33261	Active
17276	ZROWFOVAOFZGNF-UHFFFAOYSA-N	P33261	Active
17277	HSFHHBMXLUGNAF-UHFFFAOYSA-N	P33261	Active
17278	BTLNJDKWXGKLEZ-UHFFFAOYSA-N	P33261	Active
17279	UFOHASJMBQKXIV-UHFFFAOYSA-N	P33261	Active
17280	FSTCNVDYNLAILD-UHFFFAOYSA-N	P33261	Active
17281	ODOKSMLEXKTXEG-UHFFFAOYSA-N	P33261	Active
17282	GVABIHQYNIHCKP-UHFFFAOYSA-N	P33261	Active
17283	PTHSETRJGDLJGD-UHFFFAOYSA-N	P33261	Active
17284	BPQXSEFBTATIND-UHFFFAOYSA-N	P33261	Active
17285	HSVLSGPNFMVFOY-UHFFFAOYSA-N	P33261	Active
17286	QCPXJBSWAUYEDZ-UHFFFAOYSA-N	P33261	Active
17287	BDEAVOSAIFACJI-UHFFFAOYSA-N	P33261	Active
17288	RKBNHKKDDYYMRQ-UHFFFAOYSA-N	P33261	Active
17289	ZEKUXLFHIUELLN-UHFFFAOYSA-N	P33261	Active
17290	GYKSCGXJFKGAFS-UHFFFAOYSA-N	P33261	Active
17291	QFZLOAGOXQMLCC-UHFFFAOYSA-N	P33261	Active
17292	IIDOKZFWOVVRCW-UHFFFAOYSA-N	P33261	Active
17293	HAXTVNOPVATOCD-UHFFFAOYSA-N	P33261	Active
17294	LKOXXQRVKNYTEP-UHFFFAOYSA-N	P33261	Active
17295	BXSOTVPAROUGPI-UHFFFAOYSA-N	P33261	Active
17296	ZGBDOUWUMKSJJF-UHFFFAOYSA-N	P33261	Active
17297	RIJQPZLDLIRTET-UHFFFAOYSA-N	P33261	Active
17298	KOCIDWRLBKEZHJ-UHFFFAOYSA-N	P33261	Active
17299	DXZWVLDGSCREJU-UHFFFAOYSA-N	P33261	Active
17300	VNYCGSCCPASPPO-UHFFFAOYSA-N	P33261	Active
17301	NLCURIHWDCRJLW-UHFFFAOYSA-N	P33261	Active
17302	VRWSXZOFFNRTBA-UHFFFAOYSA-N	P33261	Active
17303	SUBYSPGCBJHMAW-UHFFFAOYSA-N	P33261	Active
17304	ZHHGHWDAMAFEBL-UHFFFAOYSA-N	P33261	Active
17305	ZXUQWIYHFGDKTO-UHFFFAOYSA-N	P33261	Active
17306	JQQBCWYXAFDXIZ-UHFFFAOYSA-N	P33261	Active
17307	ZEBUYEAXBDUDCE-UHFFFAOYSA-N	P33261	Active
17308	RWASAWMTBPTLTO-UHFFFAOYSA-N	P33261	Active
17309	SSUXGGWLCQCSGP-UHFFFAOYSA-N	P33261	Active
17310	YHKIGVPQFDRJTO-UHFFFAOYSA-N	P33261	Active
17311	ZETDHMBTVUJVTF-UHFFFAOYSA-N	P33261	Active
17312	RHHQRQUFFMNMCH-UHFFFAOYSA-N	P33261	Active
17313	IIMLHAKOIXMBJI-UHFFFAOYSA-N	P33261	Active
17314	SIBRQXJGJMWOEK-UHFFFAOYSA-N	P33261	Active
17315	UISDECBZUMBAHQ-UHFFFAOYSA-N	P33261	Active
17316	HROOUULWXOGBLV-UHFFFAOYSA-N	P33261	Active
17317	MQMVHGUQDXETRJ-UHFFFAOYSA-N	P33261	Active
17318	RNGWCRYKZICRMB-UHFFFAOYSA-N	P33261	Active
17319	CTEPPQNTKSEGLH-UHFFFAOYSA-N	P33261	Active
17320	HSLZLFXBKPAEDP-UHFFFAOYSA-N	P33261	Active
17321	YLQNJKBADKOIQU-UHFFFAOYSA-N	P33261	Active
17322	SBYIHYUUKHOSEH-UHFFFAOYSA-N	P33261	Active
17323	BXLRDCYSNMMGSD-UHFFFAOYSA-N	P33261	Active
17324	QZGFGJWRHCQUGY-UHFFFAOYSA-N	P33261	Active
17325	PKPWGSRONAQDSI-RAXLEYEMSA-N	P33261	Active
17326	SDGFSCCPELJHBP-UHFFFAOYSA-N	P33261	Active
17327	FGCTVHYPFJQCBH-UHFFFAOYSA-N	P33261	Active
17328	JEFSNYCLVVWYEK-UHFFFAOYSA-N	P33261	Active
17329	HLALXEAULZNWJJ-UHFFFAOYSA-N	P33261	Active
17330	KUVYCHRDFZKBHJ-UHFFFAOYSA-N	P33261	Active
17331	YCJIETCVSUYZHK-UHFFFAOYSA-N	P33261	Active
17332	RVGAXLZZGBFUKT-UHFFFAOYSA-N	P33261	Active
17333	SPXGVJOEEKVQDZ-UHFFFAOYSA-N	P33261	Active
17334	YEQOIPOXVQAWPR-UHFFFAOYSA-N	P33261	Active
17335	TZORLBPKCJPTAR-UHFFFAOYSA-N	P33261	Active
17336	MYXBMYBGVJKMLV-UHFFFAOYSA-N	P33261	Active
17337	SEDLXLQNUWUZNN-UHFFFAOYSA-N	P33261	Active
17338	JHZMJULKFKFIMK-UHFFFAOYSA-N	P33261	Active
17339	MHXSZWHQYPAFRO-UHFFFAOYSA-N	P33261	Active
17340	VFBWOOHDXXQWDU-UHFFFAOYSA-N	P33261	Active
17341	KQDNUZMGJAURJN-UHFFFAOYSA-N	P33261	Active
17342	VNUJYBRCPGQULU-UHFFFAOYSA-N	P33261	Active
17343	FTQUMJOIKUIBIH-UHFFFAOYSA-N	P33261	Active
17344	XEVHJCSSYCATMY-UHFFFAOYSA-N	P33261	Active
17345	JXDVUXWKNRTLSU-UHFFFAOYSA-N	P33261	Active
17346	RWKZFNODIXGMSY-UHFFFAOYSA-N	P33261	Active
17347	OGOWGIAZWZGNMT-UHFFFAOYSA-N	P33261	Active
17348	SNQYQRBZLIAPFA-UHFFFAOYSA-N	P33261	Active
17349	URKJSKVDJFPMFH-UHFFFAOYSA-N	P33261	Active
17350	VVONADBYNJDPHR-UHFFFAOYSA-N	P33261	Active
17351	AKJZEMOOIFNPJR-UHFFFAOYSA-N	P33261	Active
17352	TZJIPJWKVRVWBR-UHFFFAOYSA-N	P33261	Active
17353	KFANEWAMJDVDMP-UHFFFAOYSA-N	P33261	Active
17354	DDINDQCBKGHLFJ-UHFFFAOYSA-N	P33261	Active
17355	FSOQBSVGBHLKRZ-UHFFFAOYSA-N	P33261	Active
17356	UUYUSNTYGICKSX-UHFFFAOYSA-N	P33261	Active
17357	WTIIORLDCDYPLF-UHFFFAOYSA-N	P33261	Active
17358	CVOLODLSAHURCY-UHFFFAOYSA-N	P33261	Active
17359	DNQTUYNIQNJZPG-UHFFFAOYSA-N	P33261	Active
17360	OCCIFDIVOTVYEU-UHFFFAOYSA-N	P33261	Active
17361	JRGAEFZWRBBMQS-UHFFFAOYSA-N	P33261	Active
17362	WASACFKLYNLLTJ-UHFFFAOYSA-N	P33261	Active
17363	WOHOPYMSIBACDV-UHFFFAOYSA-N	P33261	Active
17364	XFNHYYFVELFPNF-UHFFFAOYSA-N	P33261	Active
17365	XRZYGGNAQAJSHE-UHFFFAOYSA-N	P33261	Active
17366	QDAIWGONXDMSNO-UHFFFAOYSA-N	P33261	Active
17367	RTOBUSAORBIRDR-UHFFFAOYSA-N	P33261	Active
17368	LKGBBJHUFFRAAB-UHFFFAOYSA-N	P33261	Active
17369	CLSICFFIGXPDJK-UHFFFAOYSA-N	P33261	Active
17370	NANQKGPOEKAZON-UHFFFAOYSA-N	P33261	Active
17371	BTSLREWPUKGJRM-UHFFFAOYSA-N	P33261	Active
17372	RKWSVFWLUQWXBG-UHFFFAOYSA-N	P33261	Active
17373	UDICIPZKIVPQEI-UHFFFAOYSA-N	P33261	Active
17374	DQIBHZNBPFJWBY-VAWYXSNFSA-N	P33261	Active
17375	JKHKQIAYPUWKIB-UHFFFAOYSA-N	P33261	Active
17376	RIWZECQDJDSSJE-UHFFFAOYSA-N	P33261	Active
17377	IUJXMGLNDNPNES-UHFFFAOYSA-N	P33261	Active
17378	RNDJISJXHPCBMO-UHFFFAOYSA-N	P33261	Active
17379	XJFJINZMGHGLPK-UHFFFAOYSA-N	P33261	Active
17380	ZVPOLVCBBHBLRW-UHFFFAOYSA-N	P33261	Active
17381	ITIBNIJXGYOKFS-UHFFFAOYSA-N	P33261	Active
17382	JSOUKOLKALRVRT-UHFFFAOYSA-N	P33261	Active
17383	NJYHPKPEOLTPBL-UHFFFAOYSA-N	P33261	Active
17384	IQLCWBJBXDAOFY-UHFFFAOYSA-N	P33261	Active
17385	PBGALVWBACEVEC-UHFFFAOYSA-N	P33261	Active
17386	HVRYZJATGODZSW-UHFFFAOYSA-N	P33261	Active
17387	XOEFGDZEPBXRLL-UHFFFAOYSA-N	P33261	Active
17388	ASYJCMQQNDMWCL-UHFFFAOYSA-N	P33261	Active
17389	QZGCHMZBGHVZFB-UHFFFAOYSA-N	P33261	Active
17390	MMGNNXYFWMVCHZ-UHFFFAOYSA-N	P33261	Active
17391	NZWSRTLSGNBYFK-UHFFFAOYSA-N	P33261	Active
17392	SLWSEHAQNPRDLB-UHFFFAOYSA-N	P33261	Active
17393	HFIVERBXALGHJH-UHFFFAOYSA-N	P33261	Active
17394	IUYTTWUJOWNUOS-UHFFFAOYSA-N	P33261	Active
17395	DSWJFBKNAGDULT-UHFFFAOYSA-N	P33261	Active
17396	MIXLWHOCFNVHPH-UHFFFAOYSA-N	P33261	Active
17397	WBPHWHPHHILKKP-UHFFFAOYSA-N	P33261	Active
17398	GWQHZKXQGNKXCL-UHFFFAOYSA-N	P33261	Active
17399	ZUWAEIDOUAIJOW-UHFFFAOYSA-N	P33261	Active
17400	NRCILBJQBRWWFJ-UHFFFAOYSA-N	P33261	Active
17401	DZXTVDFBASUJCR-UHFFFAOYSA-N	P33261	Active
17402	GZXZKZQZEDCIFL-UHFFFAOYSA-N	P33261	Active
17403	YWQDODSJXMHTFS-UHFFFAOYSA-N	P33261	Active
17404	RILWIHZZVLHXNW-UHFFFAOYSA-N	P33261	Active
17405	YWWBDTDDBAJZJM-VMPITWQZSA-N	P33261	Active
17406	IJJDCGLLUBKIJR-UHFFFAOYSA-N	P33261	Active
17407	HRYMVHUVNCSUDV-UHFFFAOYSA-N	P33261	Active
17408	FBXMCYKFOJUCNQ-UHFFFAOYSA-N	P33261	Active
17409	XRPNCQQSJLIBMY-UHFFFAOYSA-N	P33261	Active
17410	MCUNULDGWUSQAQ-UHFFFAOYSA-N	P33261	Active
17411	SSYAUVNBEGNTHT-UHFFFAOYSA-N	P33261	Active
17412	XGXVPUGJLBLLGM-CLFYSBASSA-N	P33261	Active
17413	MGRGGHQTESCFHS-UHFFFAOYSA-N	P33261	Active
17414	GPDZLUNLXHMMLS-UHFFFAOYSA-N	P33261	Active
17415	HTJQZYJVEYASJO-UHFFFAOYSA-N	P33261	Active
17416	ABDCNXRDSSCYKW-UHFFFAOYSA-N	P33261	Active
17417	DGOYFIDOIXRNRT-UHFFFAOYSA-N	P33261	Active
17418	XWQGXJYWNKIZOT-UHFFFAOYSA-N	P33261	Active
17419	HBTUQKNEHKJUCA-UHFFFAOYSA-N	P33261	Active
17420	DSHUVWRTVUJSDC-UHFFFAOYSA-N	P33261	Active
17421	PMXVYZAZUXTKKW-UHFFFAOYSA-N	P33261	Active
17422	YCDJHPJOVPMNMP-UHFFFAOYSA-N	P33261	Active
17423	PHCZEJHBXIXORS-UHFFFAOYSA-N	P33261	Active
17424	APOAJSKBAITGTJ-UHFFFAOYSA-N	P33261	Active
17425	NEWMOKGRNPVDLF-UHFFFAOYSA-N	P33261	Active
17426	VASNCUUCJVLFEQ-UHFFFAOYSA-N	P33261	Active
17427	HXUXVDLSRWEPLV-UHFFFAOYSA-N	P33261	Active
17428	HMOSXYAZVOSXSR-UHFFFAOYSA-N	P33261	Active
17429	XXHYFDYAFMKDRN-UHFFFAOYSA-N	P33261	Active
17430	KXJYRIWHZOWQAU-UHFFFAOYSA-N	P33261	Active
17431	INHKRAUHZHFOQE-UHFFFAOYSA-N	P33261	Active
17432	DPCHHWLRXZZPAI-UHFFFAOYSA-N	P33261	Active
17433	LXXZCPRVMMGMJX-UHFFFAOYSA-N	P33261	Active
17434	PWMLTDZXAYBHCF-PFONDFGASA-N	P33261	Active
17435	FSMGZRAYOSPRAP-UHFFFAOYSA-N	P33261	Active
17436	UTCVYUIIZZEOHZ-UHFFFAOYSA-N	P33261	Active
